clean_text_current_name,confidence,course_type_id,current_name,detected_agency,edit_url,proposed_official_clean_name,skip_reason,source_reason,status,﻿course_type_id
"Healthcare Provider: BLS Course Basic Life Support (BLS) for healthcare professionals trains participants to promptly recognize several life-threatening emergencies, give high-quality CPR, deliver appropriate ventilations, and provide early use of an AED.",low,,"Healthcare Provider: BLS Course Basic Life Support (BLS) for healthcare professionals trains participants to promptly recognize several life-threatening emergencies, give high-quality CPR, deliver appropriate ventilations, and provide early use of an AED.",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428958,,category/header row,category/header row,skipped,428958
BLS Provider (NHCSO),low,,BLS Provider (NHCSO),,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=305700,,private/internal/admin/group/specialty row,private/internal/admin/group/specialty row,skipped,305700
"BLS Provider (On-site; Group; Fully In-person) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",low,,"BLS Provider (On-site; Group; Fully In-person) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=393791,,private/internal/admin/group/specialty row,private/internal/admin/group/specialty row,skipped,393791
"Healthcare Provider: ACLS CourseACLS is an advanced course that builds on the foundation of lifesaving BLS skills, emphasizing the importance of continuous, high-quality CPR, and high-performance team dynamics.",low,,"Healthcare Provider: ACLS CourseACLS is an advanced course that builds on the foundation of lifesaving BLS skills, emphasizing the importance of continuous, high-quality CPR, and high-performance team dynamics.",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428959,,category/header row,category/header row,skipped,428959
American Red Cross Advanced Life Support (ALS) - In-personInstructor-led classroom for new or expired providers,medium,,American Red Cross Advanced Life Support (ALS) - In-personInstructor-led classroom for new or expired providers,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=285820,American Red Cross Advanced Life Support,official agency naming pattern matched,Red Cross ALS course family visible in existing title; official source not fully verified for this run.,skipped,285820
"American Red Cross Advanced Life Support (ALS) - Blended LearningComplete online training, then attend in-person skills testing",medium,,"American Red Cross Advanced Life Support (ALS) - Blended LearningComplete online training, then attend in-person skills testing",American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248290,American Red Cross Advanced Life Support,official agency naming pattern matched,Red Cross ALS course family visible in existing title; official source not fully verified for this run.,skipped,248290
"Healthcare Provider: PALS CoursePediatric Advanced Life Support (PALS) uses a series of videos and simulated pediatric emergencies to reinforce the important concepts of a systematic approach to pediatric assessment, basic life support, PALS treatment algorithms, effective resuscitation, and team dynamics.",low,,"Healthcare Provider: PALS CoursePediatric Advanced Life Support (PALS) uses a series of videos and simulated pediatric emergencies to reinforce the important concepts of a systematic approach to pediatric assessment, basic life support, PALS treatment algorithms, effective resuscitation, and team dynamics.",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428960,,category/header row,category/header row,skipped,428960
"American Red Cross Pediatric Advanced Life Support (PALS) - Blended Learning (Online + Skills Session)Complete online training, then attend an in-person skills session",medium,,"American Red Cross Pediatric Advanced Life Support (PALS) - Blended Learning (Online + Skills Session)Complete online training, then attend an in-person skills session",American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248291,American Red Cross Advanced Life Support,official agency naming pattern matched,Red Cross ALS course family visible in existing title; official source not fully verified for this run.,skipped,248291
Healthcare Provider: ASLS CourseASLS is appropriate for healthcare professionals in both prehospital and in-hospital settings involved in the management of acute stroke patients.,low,,Healthcare Provider: ASLS CourseASLS is appropriate for healthcare professionals in both prehospital and in-hospital settings involved in the management of acute stroke patients.,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428961,,category/header row,category/header row,skipped,428961
"AHA Advanced Stroke Life Support (ASLS) - Blended LearningComplete online course, then attend in-person skills session",low,,"AHA Advanced Stroke Life Support (ASLS) - Blended LearningComplete online course, then attend in-person skills session",AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=419448,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,419448
